aerofoil_name,lower_weight_0,lower_weight_1,lower_weight_2,lower_weight_3,lower_weight_4,lower_weight_5,lower_weight_6,lower_weight_7,lower_weight_8,lower_weight_9,lower_weight_10,lower_weight_11,upper_weight_0,upper_weight_1,upper_weight_2,upper_weight_3,upper_weight_4,upper_weight_5,upper_weight_6,upper_weight_7,upper_weight_8,upper_weight_9,upper_weight_10,upper_weight_11,TE_thickness,leading_edge_weight,CL_0,CL_1,CL_2,CL_3,CL_4,CL_5,CL_6,CL_7,CL_8,CL_9,CL_10,CL_11,CL_12,CL_13,CL_14,CL_15,CL_16,CL_17,CL_18,CL_19,CL_20,CL_21,CL_22,CL_23,CL_24,CL_25,CL_26,CL_27,CL_28,CL_29,CL_30,CL_31,CL_32,CL_33,CL_34,CL_35,CL_36,CL_37,CL_38,CL_39,CL_40,CL_41,CL_42,CL_43,CL_44,CL_45,CL_46,CL_47,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,alpha_8,alpha_9,alpha_10,alpha_11,alpha_12,alpha_13,alpha_14,alpha_15,alpha_16,alpha_17,alpha_18,alpha_19,alpha_20,alpha_21,alpha_22,alpha_23,alpha_24,alpha_25,alpha_26,alpha_27,alpha_28,alpha_29,alpha_30,alpha_31,alpha_32,alpha_33,alpha_34,alpha_35,alpha_36,alpha_37,alpha_38,alpha_39,alpha_40,alpha_41,alpha_42,alpha_43,alpha_44,alpha_45,alpha_46,alpha_47
a18,-0.0775450773408919,0.0981069260313499,-0.2460343763798203,0.369357198295909,-0.5914886465009334,0.7243202479557092,-0.5053024879616418,0.2384048461665114,0.0999636509783757,-0.0057692010980229,0.0821772129503763,0.0733520206834784,0.1469201754710968,0.3562872138637941,-0.0637317860588373,0.3532695940084723,0.1761152829195749,-0.0355551623942382,0.6093576831815863,-0.374479451941406,0.7793247881838405,-0.3163416293006268,0.5470824158768104,-0.0389762123763751,0.0142992629356279,-0.4303649985529243,-0.4536,-0.6539,-0.5896,-0.5241,-0.4554,-0.39,-0.3245,-0.2574,-0.1892,-0.1194,-0.0572,0.0066,0.0642,0.1212,0.1777,0.2339,0.3181,0.3741,0.4295,0.4855,0.5411,0.5969,0.6449,0.7,0.7549,0.8095,0.8613,0.9104,0.9612,1.013,1.0591,1.1086,1.1585,1.2036,1.2505,1.2949,1.3356,1.3689,1.4063,1.4391,1.4682,1.4906,1.5019,1.505,1.4891,1.4465,1.3872,1.3446,-10.75,-10.25,-9.75,-9.25,-8.75,-8.25,-7.75,-7.25,-6.75,-6.25,-5.75,-5.25,-4.75,-4.25,-3.75,-3.25,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.75,13.25
a18sm,-0.1154819418068704,-0.0877480073684141,0.0033012355796796,-0.0305932066391035,0.0099211829641809,0.0411001001234322,0.0268568205590809,0.0282292546743853,0.0828277074321379,0.033788925739738,0.0954378021938858,0.0468925762371942,0.1157843204904526,0.135223007479678,0.2074002474923679,0.0632454434801453,0.3983783711635753,-0.0773805649066303,0.4524274768241573,-0.0181674020678078,0.3419764235265396,0.1306902062454586,0.250538650508076,0.23124611963484,0.0064424547105032,0.1326797275780789,-0.4108,-0.5126,-0.4455,-0.3808,-0.3143,-0.2466,-0.177,-0.1066,-0.0438,0.0212,0.0809,0.1388,0.2228,0.2785,0.3343,0.4182,0.4741,0.5298,0.5849,0.6327,0.6877,0.7429,0.7977,0.8513,0.9288,0.9742,1.0241,1.0728,1.1215,1.1705,1.2191,1.2639,1.3096,1.3536,1.385,1.426,1.4789,1.5098,1.5257,1.5148,1.5305,1.5371,1.534,1.5231,1.5051,1.4775,1.4404,1.3648,-8.75,-8.25,-7.75,-7.25,-6.75,-6.25,-5.75,-5.25,-4.75,-4.25,-3.75,-3.25,-2.5,-2.0,-1.5,-0.75,-0.25,0.25,0.75,1.25,1.75,2.25,2.75,3.25,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.25,10.75,11.25,11.75,12.25,12.75,13.25,13.75,14.25,14.75,15.25,16.0
a63a108c,-0.2044999009503334,-0.0055182213482961,-0.2070259634342292,-0.0770517350751807,-0.0759734387293345,-0.1090328477417239,-0.10626761253402,-0.0836940220123538,-0.068998126005438,-0.070750488782487,-0.0833833819834619,-0.0983754944556154,0.2942317715832973,0.1040644182868927,0.2125493072771805,0.1766701011630649,0.1181513829350915,0.1140667642346917,0.1400040718076141,0.159040865091575,0.1583979911900938,0.1435700228039171,0.1246312157824833,0.1086583063197938,0.1393620175914096,-0.095961443528555,-0.7369,-0.9861,-0.9592,-0.9127,-0.8619,-0.8101,-0.7305,-0.675,-0.6185,-0.5618,-0.5038,-0.4446,-0.3302,-0.2791,-0.2264,-0.173,-0.1182,-0.0624,0.0208,0.0736,0.1338,0.1913,0.2492,0.3071,0.3938,0.4515,0.5089,0.5661,0.6231,0.6798,0.7639,0.8195,0.8747,0.9289,0.9823,1.0345,1.1114,1.1582,1.2065,1.2522,1.2958,1.3323,1.384,1.4087,1.4166,1.4075,1.3854,1.2096,-9.75,-9.25,-8.75,-8.25,-7.75,-7.25,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.25,0.75,1.25,1.75,2.25,2.75,3.5,4.0,4.5,5.0,5.5,6.0,6.75,7.25,7.75,8.25,8.75,9.25,10.0,10.5,11.0,11.5,12.0,12.5,13.25,13.75,14.25,14.75,15.25,16.0
ag03,-0.06827793807852,-0.1030763990283099,0.0855411315758413,-0.2282132785058803,0.2748207430252285,-0.3828260053171852,0.3317220321512696,-0.2908963376090789,0.1489326761704339,-0.0966047850164619,0.0141513855948435,-0.0260428344008811,0.1230618581389569,0.1490423953190471,0.0962671204529656,0.2352091103824081,-0.0345129799804669,0.3196918179586948,-0.0496600226569392,0.231628702515285,0.0562891400327872,0.126991041091127,0.108048149745731,0.09136425069181,0.0016645237678704,0.1038066557016657,-0.4365,-0.4366,-0.4387,-0.4433,-0.4287,-0.4027,-0.3876,-0.3635,-0.1299,-0.0644,-0.0092,0.0165,0.0685,0.1194,0.1619,0.2305,0.2575,0.3118,0.3663,0.4208,0.4752,0.5024,0.5567,0.6111,0.6652,0.719,0.7726,0.7992,0.852,0.9046,0.957,1.0088,1.0344,1.085,1.1348,1.1833,1.2299,1.2502,1.2947,1.3273,1.3573,1.3756,1.3785,1.3637,1.3367,1.3007,1.2522,1.1981,-8.25,-8.0,-7.5,-7.0,-6.5,-6.0,-5.75,-5.25,-3.0,-2.5,-2.0,-1.75,-1.25,-0.75,-0.25,0.25,0.5,1.0,1.5,2.0,2.5,2.75,3.25,3.75,4.25,4.75,5.25,5.5,6.0,6.5,7.0,7.5,7.75,8.25,8.75,9.25,9.75,10.0,10.5,11.0,11.5,12.0,12.25,12.75,13.25,13.75,14.25,14.75
ag04,-0.107055455875542,-0.2184551815955473,0.2027528899289715,-0.4624015165115828,0.5822864721950831,-0.7445763678310993,0.6681486011137228,-0.5256417806495441,0.2961340665409301,-0.1424560539524584,0.0354276123388714,-0.0213354019666015,0.084679346477868,0.0598629180684338,0.1903479577381072,0.0791535455426425,0.1426145649700989,0.1278995590593679,0.0730226692083645,0.1659178223628818,0.045826728850141,0.1430638450005783,0.0757471185849485,0.0991507704140926,0.0018566399357118,0.3705424906310874,-0.6085,-0.6039,-0.5091,-0.4583,-0.4055,-0.3525,-0.326,-0.2737,-0.2213,-0.1606,-0.0893,-0.0259,0.0002,0.0514,0.1039,0.1566,0.2391,0.2941,0.3217,0.3768,0.4319,0.4869,0.5418,0.5966,0.6238,0.6782,0.7323,0.7858,0.8389,0.8915,0.9177,0.9697,1.0207,1.07,1.1186,1.1604,1.183,1.2254,1.2654,1.2999,1.3034,1.2788,1.2632,1.2378,1.2104,1.1802,1.1452,1.1005,-10.25,-10.0,-6.25,-5.75,-5.25,-4.75,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.75,-1.25,-0.75,-0.25,0.5,1.0,1.25,1.75,2.25,2.75,3.25,3.75,4.0,4.5,5.0,5.5,6.0,6.5,6.75,7.25,7.75,8.25,8.75,9.25,9.5,10.0,10.5,11.0,11.5,12.0,12.25,12.75,13.25,13.75,14.25,14.75
ag08,-0.1046011955994823,-0.1450476451580886,0.1101459092058363,-0.2832615157700016,0.3514853990328733,-0.444907614905666,0.3993840461137862,-0.3033721967687702,0.1697389797626357,-0.0833868805071678,0.0218921369349928,-0.0113020669895842,0.0881293021415015,0.0909063136530605,0.1405707504440541,0.1285844827694105,0.0698592690085255,0.1759933844092759,0.0334228272116318,0.1662083795011456,0.0608880912236502,0.1192497485379395,0.0927788410823169,0.1017758502581242,0.0020384853594154,0.2483253394507069,-0.4788,-0.4803,-0.4862,-0.5786,-0.529,-0.4778,-0.4252,-0.3997,-0.3461,-0.2931,-0.2406,-0.1883,-0.1349,-0.0625,-0.0272,0.0381,0.0905,0.1415,0.1891,0.2459,0.3004,0.3278,0.3826,0.4376,0.4927,0.5476,0.6023,0.6296,0.6838,0.7374,0.7905,0.8431,0.8954,0.9471,0.9727,1.0195,1.0684,1.1147,1.1575,1.1949,1.2085,1.2103,1.1992,1.1702,1.1463,1.1255,1.0963,1.0611,-8.25,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.25,-4.75,-4.25,-3.75,-3.25,-2.75,-2.25,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.25,1.75,2.25,2.75,3.25,3.75,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.25,7.75,8.25,8.75,9.25,9.75,10.25,10.5,11.0,11.5,12.0,12.5,13.0,13.5
ag09,-0.121345281070055,-0.1507794764028656,0.1391324223881877,-0.2422633699803636,0.3098560876117687,-0.3498770898637476,0.299657309947242,-0.2056545299821973,0.1053600893644371,-0.0453940049382398,0.0113822208997411,-0.0042353288068471,0.0745780620118112,0.019283860371543,0.2451093395025378,-0.0942574236623036,0.3828810594058258,-0.2315872168464723,0.4027957098423325,-0.136593471338899,0.2193704494391845,0.0237304860148745,0.1028165288519521,0.0758678253839336,0.002385743140989,0.3933997916706941,-0.6011,-0.5971,-0.5931,-0.4074,-0.3802,-0.3262,-0.2989,-0.2437,-0.2161,-0.1608,-0.1334,-0.0787,-0.0518,0.0155,0.0496,0.1262,0.1525,0.2,0.2285,0.2835,0.3111,0.3664,0.3941,0.4495,0.4772,0.5325,0.5601,0.6424,0.6697,0.7238,0.7506,0.8038,0.8301,0.8827,0.909,0.9607,0.9854,1.0288,1.0525,1.0986,1.1203,1.159,1.1743,1.183,1.1685,1.1281,1.1123,1.0749,-8.25,-8.0,-7.75,-5.25,-5.0,-4.5,-4.25,-3.75,-3.5,-3.0,-2.75,-2.25,-2.0,-1.5,-1.25,-0.5,-0.25,0.25,0.5,1.0,1.25,1.75,2.0,2.5,2.75,3.25,3.5,4.25,4.5,5.0,5.25,5.75,6.0,6.5,6.75,7.25,7.5,8.0,8.25,8.75,9.0,9.5,9.75,10.25,10.5,11.0,11.25,11.75
ag10,-0.1544635383570212,-0.1605372959489779,0.079008645332333,-0.08195226983673,0.0111139338161057,0.0595908753308003,-0.1020232946631725,0.0858009756033517,-0.0622615196741286,0.0279623690237267,-0.0153418917338691,0.0020598279945056,0.0735454858854844,-0.0863480432437588,0.4189077624058452,-0.4381501479313835,0.8927907839008958,-0.901578126897688,1.042804738866541,-0.653467493991811,0.5141887049713018,-0.1216077379772011,0.1427219151782354,0.0582475601849212,0.0040781867580631,0.5677182087079845,-0.5174,-0.5168,-0.6396,-0.6295,-0.5982,-0.5656,-0.5314,-0.4814,-0.4543,-0.3992,-0.3434,-0.2877,-0.2315,-0.1752,-0.119,-0.0629,-0.0349,0.0207,0.0889,0.1372,0.1845,0.2383,0.2941,0.3501,0.3782,0.4342,0.4902,0.5459,0.6014,0.6565,0.7114,0.7659,0.7929,0.8468,0.9001,0.9531,1.0036,1.054,1.1027,1.149,1.1669,1.2009,1.2278,1.2365,1.2157,1.1425,1.1139,0.9578,-10.75,-10.5,-9.0,-8.5,-7.25,-6.75,-6.25,-5.75,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.75,-1.25,-0.75,-0.25,0.25,0.75,1.25,1.75,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,5.75,6.25,6.75,7.25,7.75,8.25,8.75,9.25,9.5,10.0,10.5,11.0,11.5,12.25,12.75,13.25
ag11,-0.1322651787516442,-0.2740150056473194,0.2831083521669515,-0.4231099896847269,0.4919258047826124,-0.5451718211558395,0.4495326603902895,-0.3314768197330526,0.1652152671311613,-0.0825535058462311,0.0128693635671304,-0.0126049361601203,0.0920454544601397,-0.1512550173597619,0.5503790329330723,-0.5010419153276205,1.003854039709546,-0.8749370162569725,1.0388410649298272,-0.5461579370229043,0.4768589179612922,-0.0400792765577948,0.1485795008760289,0.0914697665804318,0.0029391802265979,0.856003629132972,-0.5426,-0.5328,-0.5217,-0.4976,-0.4643,-0.4309,-0.3926,-0.3458,-0.2956,-0.244,-0.1879,-0.118,0.0593,0.1125,0.1672,0.2229,0.2731,0.3285,0.3839,0.4392,0.4945,0.5496,0.6048,0.6597,0.7144,0.7687,0.8227,0.8764,0.9297,0.983,1.0358,1.0873,1.1392,1.1898,1.2395,1.2893,1.3379,1.3838,1.4304,1.4726,1.5096,1.5403,1.5569,1.5705,1.5618,1.5422,1.5047,1.3693,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.25
ag12,-0.0914476333534853,-0.1631024517035561,0.1283425573462954,-0.3434775226473393,0.4347966688825142,-0.5640403118477886,0.5211742722283957,-0.3900683513077446,0.246246194265633,-0.0879987867790886,0.0619433684093646,0.0160407658930334,0.094507289344806,0.1030284733456027,0.1264699147550012,0.1702090173879633,0.0334418694436339,0.2163300230339864,0.0283355927565232,0.1406993438679807,0.106699425925955,0.0751585793629986,0.1129650604676377,0.0883409649168773,0.001256480998636,0.239680345500424,-0.5958,-0.5916,-0.5876,-0.3739,-0.3476,-0.2936,-0.2666,-0.2129,-0.1861,-0.1318,-0.1044,-0.0316,0.004,0.0641,0.0892,0.1413,0.168,0.2216,0.2458,0.3003,0.328,0.3836,0.4113,0.4667,0.4944,0.5496,0.5771,0.6319,0.6592,0.7135,0.7675,0.8211,0.8476,0.9006,0.9268,0.9791,1.0042,1.0547,1.0771,1.1254,1.1483,1.1923,1.2136,1.2551,1.2733,1.2619,1.2563,1.2242,-9.5,-9.25,-9.0,-5.25,-5.0,-4.5,-4.25,-3.75,-3.5,-3.0,-2.75,-2.25,-2.0,-1.5,-1.25,-0.75,-0.5,0.0,0.25,0.75,1.0,1.5,1.75,2.25,2.5,3.0,3.25,3.75,4.0,4.5,5.0,5.5,5.75,6.25,6.5,7.0,7.25,7.75,8.0,8.5,8.75,9.25,9.5,10.0,10.25,11.0,11.25,11.75
